DOCENTE,DIA,HORA_INICIO,PRIORIDAD
11111111,lunes,07:00,1
11111111,lunes,08:00,1
11111111,lunes,14:00,1
11111111,lunes,15:00,1
11111111,lunes,16:00,1
11111111,lunes,17:00,1
11111111,lunes,18:00,1
11111111,lunes,19:00,1
11111111,martes,14:00,1
11111111,martes,15:00,1
11111111,martes,16:00,1
11111111,martes,17:00,1
11111111,martes,18:00,1
11111111,martes,19:00,1
11111111,miercoles,10:00,1
11111111,miercoles,11:00,1
11111111,miercoles,12:00,1
22222222,lunes,10:00,1
22222222,lunes,11:00,1
22222222,lunes,12:00,1
22222222,martes,07:00,1
22222222,martes,08:00,1
22222222,martes,09:00,1
22222222,martes,10:00,1
22222222,martes,11:00,1
22222222,martes,12:00,1
22222222,martes,13:00,1
22222222,viernes,07:00,1
22222222,viernes,08:00,1
22222222,viernes,09:00,1
22222222,viernes,10:00,1
22222222,viernes,11:00,1
22222222,viernes,12:00,1
22222222,viernes,13:00,1
33333333,lunes,14:00,1
33333333,lunes,15:00,1
33333333,lunes,16:00,1
33333333,lunes,17:00,1
33333333,jueves,09:00,1
33333333,jueves,10:00,1
33333333,jueves,11:00,1
33333333,jueves,12:00,1
33333333,jueves,14:00,1
33333333,jueves,15:00,1
33333333,jueves,16:00,1
33333333,jueves,17:00,1
44444444,viernes,09:00,1
44444444,viernes,10:00,1
44444444,viernes,11:00,1
44444444,viernes,12:00,1
55555555,martes,10:00,1
55555555,martes,11:00,1
55555555,martes,12:00,1
55555555,viernes,07:00,1
55555555,viernes,08:00,1
66666666,jueves,14:00,1
66666666,jueves,15:00,1
66666666,jueves,16:00,1
66666666,jueves,17:00,1
77777777,lunes,09:00,1
77777777,lunes,10:00,1
77777777,lunes,11:00,1
77777777,lunes,12:00,1
77777777,martes,16:00,1
77777777,martes,17:00,1
88888888,jueves,07:00,1
88888888,jueves,08:00,1
99999999,viernes,14:00,1
99999999,viernes,15:00,1
99999999,viernes,16:00,1
99999999,viernes,17:00,1
70707070,miercoles,07:00,1
70707070,miercoles,08:00,1
70707070,miercoles,09:00,1
70707070,miercoles,10:00,1
70707070,miercoles,11:00,1
70707070,miercoles,12:00,1
70707070,miercoles,13:00,1
70707070,miercoles,14:00,1
70707070,miercoles,15:00,1
70707070,miercoles,16:00,1
70707070,miercoles,17:00,1
70707070,miercoles,18:00,1
70707070,miercoles,19:00,1
70707070,miercoles,20:00,1
70808080,miercoles,07:00,1
70808080,miercoles,08:00,1
70808080,miercoles,09:00,1
70808080,miercoles,10:00,1
70808080,miercoles,11:00,1
70808080,miercoles,12:00,1
70808080,miercoles,13:00,1
70808080,miercoles,14:00,1
70808080,miercoles,15:00,1
70808080,miercoles,16:00,1
70808080,miercoles,17:00,1
70808080,miercoles,18:00,1
70808080,miercoles,19:00,1
70808080,miercoles,20:00,1
70909090,miercoles,07:00,1
70909090,miercoles,08:00,1
70909090,miercoles,09:00,1
70909090,miercoles,10:00,1
70909090,miercoles,11:00,1
70909090,miercoles,12:00,1
70909090,miercoles,13:00,1
70909090,miercoles,14:00,1
70909090,miercoles,15:00,1
70909090,miercoles,16:00,1
70909090,miercoles,17:00,1
70909090,miercoles,18:00,1
70909090,miercoles,19:00,1
70909090,miercoles,20:00,1
20202020,lunes,09:00,1
