DOCENTE,DIA,HORA_INICIO,PRIORIDAD
49494949,lunes,07:00,1
49494949,lunes,08:00,1
49494949,lunes,14:00,1
49494949,lunes,15:00,1
49494949,lunes,16:00,1
49494949,lunes,17:00,1
49494949,lunes,18:00,1
49494949,lunes,19:00,1
22222222,martes,07:00,1
22222222,martes,08:00,1
22222222,martes,09:00,1
22222222,martes,10:00,1
22222222,martes,11:00,1
22222222,martes,12:00,1
22222222,martes,13:00,1
33333333,jueves,09:00,1
33333333,jueves,10:00,1
33333333,jueves,11:00,1
33333333,jueves,12:00,1
33333333,jueves,14:00,1
33333333,jueves,15:00,1
33333333,jueves,16:00,1
33333333,jueves,17:00,1
12345678,viernes,09:00,1
12345678,viernes,10:00,1
12345678,viernes,11:00,1
12345678,viernes,12:00,1
87654321,martes,10:00,1
87654321,martes,11:00,1
87654321,martes,12:00,1
87654321,viernes,07:00,1
87654321,viernes,08:00,1
11223344,jueves,02:00,1
11223344,jueves,03:00,1
11223344,jueves,04:00,1
11223344,jueves,05:00,1
45454545,lunes,09:00,1
45454545,lunes,10:00,1
45454545,lunes,11:00,1
45454545,lunes,12:00,1
45454545,martes,16:00,1
45454545,martes,17:00,1
55667788,jueves,07:00,1
55667788,jueves,08:00,1
99887766,viernes,14:00,1
99887766,viernes,15:00,1
99887766,viernes,16:00,1
99887766,viernes,17:00,1
20202020,lunes,09:00,1
20202020,lunes,10:00,1
20202020,lunes,11:00,1
20202020,lunes,12:00,1
20202020,viernes,09:00,1
20202020,viernes,10:00,1
20202020,viernes,11:00,1
20202020,viernes,12:00,1
20202020,martes,09:00,1
20202020,martes,10:00,1
20202020,martes,11:00,1
20202020,martes,12:00,1
20202020,martes,14:00,1
20202020,martes,15:00,1
21212121,miércoles,09:00,1
21212121,miércoles,10:00,1
21212121,miércoles,11:00,1
21212121,miércoles,14:00,1
21212121,miércoles,15:00,1
21212121,miércoles,16:00,1
21212121,miércoles,17:00,1
21212121,jueves,07:00,1
21212121,jueves,08:00,1
21212121,jueves,09:00,1
21212121,jueves,10:00,1
21212121,jueves,11:00,1
21212121,jueves,12:00,1
21212121,jueves,16:00,1
21212121,jueves,17:00,1
22222223,miércoles,07:00,1
22222223,miércoles,08:00,1
22222223,miércoles,09:00,1
22222223,miércoles,10:00,1
22222223,miércoles,11:00,1
22222223,miércoles,12:00,1
22222223,miércoles,14:00,1
22222223,miércoles,15:00,1
22222223,miércoles,16:00,1
22222223,miércoles,17:00,1
22222223,miércoles,18:00,1
22222223,miércoles,19:00,1
22222223,jueves,07:00,1
22222223,jueves,08:00,1
22222223,jueves,09:00,1
22222223,jueves,10:00,1
22222223,jueves,11:00,1
22222223,jueves,12:00,1
23232323,miércoles,18:00,1
23232323,miércoles,19:00,1
23232323,miércoles,20:00,1
23232323,jueves,14:00,1
23232323,jueves,15:00,1
24242424,martes,16:00,1
24242424,martes,17:00,1
24242424,jueves,18:00,1
24242424,jueves,19:00,1
24242424,jueves,20:00,1
24242424,viernes,07:00,1
24242424,viernes,08:00,1
24242424,viernes,16:00,1
24242424,viernes,17:00,1
25252525,lunes,07:00,1
25252525,lunes,08:00,1
25252525,martes,07:00,1
25252525,martes,08:00,1
26262626,lunes,15:00,1
26262626,lunes,16:00,1
26262626,lunes,17:00,1
26262626,lunes,18:00,1
26262626,lunes,19:00,1
26262626,jueves,07:00,1
26262626,jueves,08:00,1
26262626,jueves,09:00,1
26262626,jueves,10:00,1
26262626,miércoles,14:00,1
26262626,miércoles,15:00,1
26262626,miércoles,16:00,1
